FeatureID,mzmed,rtmed,lipidMatch,ion
LP0261,496.3391925,2.004083333,LPC(16:0),+H
LP0485,636.4231917,2.972916667,"OxLPC(24:1(Ke,OH))",+H
LP0507,666.6158317,16.81766667,CE(18:2),+NH4
LP0421,703.5739806,8.465425,SM(d34:1),+H
LP0536,705.590168,8.615558333,SM(d34:0),+H
LP0715,718.5741464,10.33479167,PC(P-16:0/16:0),+H
LP0590,720.5885359,10.59885833,PC(O-16:0/16:0),+H
LP0410,722.5123265,8.481133333,PE(P-16:1/20:4),+H
LP0370,756.553281,8.093483333,PC(34:3),+H
LP0353,766.5386537,8.816666667,PE(38:5),+H
LP0352,766.5713979,9.149816667,PC(P-16:0/20:4),+H
LP0348,768.5549211,9.7485,PC(35:4),+H
LP0342,770.5702279,10.20626667,PE(38:3),+H
LP0330,782.5702095,8.671075,MGDG(35:4),+NH4
LP0520,784.584166,9.202483333,PC(36:3),+H
LP0322,786.6017257,10.06370833,PC(36:2),+H
LP0319,787.6685037,11.73425833,SM(d18:1/22:0),+H
LP0318,788.6169665,10.9961,PC(36:1),+H
LP0630,796.5889854,10.50540833,PE(40:4),+H
LP0296,799.6769399,16.29785,SM(d41:2),+H
LP0291,801.6837469,12.36333333,SM(d41:1),+H
LP0594,806.6475284,11.59475,OxTG(45:3(COOH)),+NH4
LP0264,812.6165083,10.38539167,MGDG(37:3),+NH4
LP0262,813.6847126,11.68945833,SM(d42:2),+H
LP0257,815.7003069,12.914575,SM(d42:1),+H
LP0256,816.7072508,15.33491667,TG(48:4),+NH4
LP0252,818.7228431,15.83255,TG(48:3),+NH4
LP0249,820.7385187,16.35165833,TG(48:2),+NH4
LP0565,832.6628071,11.589975,OxTG(47:4(COOH)),+NH4
LP0230,832.7381532,16.1517,TG(49:3),+NH4
LP0215,839.7068857,16.55061667,TG(49:2),+Na
LP0176,867.7386189,16.79083333,TG(51:2),+Na
LP0710,900.7856172,16.12329167,OxTG(53:5(OH)),+NH4
LP0506,914.8147742,16.83083333,TG(55:4),+NH4
LN0690,554.3457,1.820683333,LPC(17:0),+HCO2
LN0634,582.3774,3.12215,LPC(19:0),+HCO2
LN0246,720.4982,8.307783333,PE(P-36:5),-H
LN0208,730.5396,10.05193333,PE(35:1),-H
LN0177,738.5089,8.515958333,CL(74:7),-2H
LN0156,744.5555,10.60034167,PE(36:1),-H
LN0152,746.5136,8.733141667,PE(P-18:1/20:5),-H
LN0147,747.5657,7.990033333,SM(d34:1),+HCO2
LN0145,748.5295,9.116491667,PE(O-16:0/22:6),-H
LN1682,751.5302,8.240066667,PA(40:4),-H
LN0132,752.5244,9.046466667,CL(76:7),-2H
LN1787,752.5612,10.63289167,PE(P-18:0/20:3),-H
LN0100,764.525,8.620475,PE(38:5),-H
LN3872,771.5743,10.784875,CL(78:2),-2H
LN0061,774.5453,9.823675,PE(P-18:0/22:6),-H
LN0050,776.5626,10.18991667,PE(P-40:5),-H
LN1712,778.5782,10.91348333,PE(O-40:5),-H
LN0013,791.5633,8.575316667,PA(43:5),-H
LN4042,829.5688,7.983766667,PA(46:7),-H
LN1499,831.6606,11.568225,SM(d40:1),+HCO2
LN1646,835.5347,7.077366667,PI(16:0_18:1),-H
LN1481,838.5591,7.8026666669999996,PS(40:4),-H
LN1467,845.6744,11.57458333,SM(d41:1),+HCO2
LN1463,846.6245,10.80756667,OxPE(41:0(COOH)),-H
LN1430,857.6752,11.50466667,SM(d42:2),+HCO2
LN1902,865.5042,5.577641667,PG(22:6_22:6),-H
LN1406,866.593,8.591666667,OxPE(43:4(COOH)),-H
LN1404,868.6093,9.68695,PS(42:3),-H
LN1367,883.5357,6.498083333,PI(18:1_20:4),-H
LN1361,887.5668,7.82975,PI(18:0_20:3),-H
